Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk
1,Daniil Medvedev [RUS],65,39.2%,39.2%,5.0%,3.3%,31.8%,53.1%,26.1%,6.5,2.5,37.0,48.9
2,Alexander Zverev [GER],57,37.6%,38.4%,5.4%,2.2%,29.9%,50.7%,24.5%,6.3,2.4,34.5,48.0
3,Rafael Nadal [ESP],39,40.8%,42.2%,7.6%,3.2%,33.7%,53.3%,29.4%,6.6,2.7,32.0,50.6
4,Carlos Alcaraz [ESP],66,41.2%,40.9%,4.1%,3.3%,33.7%,53.5%,29.5%,6.8,2.8,36.5,54.9
5,Stefanos Tsitsipas [GRE],70,36.2%,35.8%,5.7%,3.9%,28.5%,49.6%,21.9%,6.3,2.3,45.0,56.7
6,Novak Djokovic [SRB],40,41.6%,42.7%,7.8%,3.9%,33.3%,55.6%,29.2%,6.8,2.8,28.0,47.4
7,Casper Ruud [NOR],75,37.8%,38.6%,7.0%,3.2%,30.4%,51.7%,24.3%,6.5,2.4,36.0,67.7
8,Felix Auger Aliassime [CAN],65,37.1%,36.9%,5.2%,3.4%,30.7%,48.7%,20.3%,6.6,2.5,45.0,65.1
9,Cameron Norrie [GBR],81,39.8%,41.4%,9.1%,3.8%,31.4%,53.4%,27.4%,6.5,2.6,38.0,50.0
10,Hubert Hurkacz [POL],65,35.3%,35.8%,7.3%,3.2%,27.8%,47.9%,19.2%,6.5,2.3,46.0,77.8
11,Andrey Rublev [RUS],67,38.9%,40.0%,8.9%,4.1%,30.2%,52.4%,24.7%,6.6,2.6,53.0,60.8
12,Taylor Fritz [USA],67,38.8%,39.0%,6.7%,4.0%,29.6%,54.0%,25.6%,6.6,2.5,46.0,71.1
13,Jannik Sinner [ITA],70,40.1%,40.6%,6.2%,3.5%,32.6%,52.5%,27.8%,6.5,2.6,53.0,65.2
14,Matteo Berrettini [ITA],36,33.0%,33.1%,6.7%,3.2%,27.5%,42.9%,15.7%,6.2,2.1,37.0,57.2
15,Pablo Carreno Busta [ESP],57,38.3%,39.2%,8.7%,4.1%,29.8%,52.6%,24.5%,6.6,2.5,41.0,82.2
16,Diego Schwartzman [ARG],66,43.4%,43.5%,5.5%,4.0%,36.4%,55.1%,33.6%,6.8,3.0,51.0,83.2
17,Marin Cilic [CRO],57,37.4%,37.9%,6.5%,3.1%,29.8%,50.9%,23.2%,6.5,2.4,45.0,67.8
18,Roberto Bautista Agut [ESP],49,41.3%,43.2%,9.6%,4.1%,31.9%,55.8%,29.7%,6.8,2.8,54.0,95.0
19,Grigor Dimitrov [BUL],50,37.5%,37.9%,7.5%,3.8%,30.3%,49.9%,22.8%,6.5,2.4,43.5,75.0
20,Alex De Minaur [AUS],64,39.8%,40.6%,5.8%,2.8%,32.8%,51.6%,27.5%,6.4,2.6,43.5,51.2
21,Denis Shapovalov [CAN],48,34.6%,33.8%,4.7%,3.5%,26.6%,48.2%,16.7%,6.3,2.2,45.5,54.3
22,Botic Van De Zandschulp [NED],64,38.7%,38.6%,5.8%,3.8%,31.9%,50.3%,24.8%,6.6,2.5,53.5,90.8
23,Daniel Evans [GBR],49,37.6%,38.3%,9.0%,4.4%,29.4%,50.6%,23.0%,6.5,2.4,47.0,60.6
24,Gael Monfils [FRA],34,39.2%,38.5%,3.9%,3.4%,32.4%,50.6%,26.4%,6.5,2.6,56.0,60.9
25,Nick Kyrgios [AUS],41,34.4%,36.0%,11.9%,4.1%,26.3%,47.6%,18.7%,6.1,2.1,31.0,42.6
26,Frances Tiafoe [USA],54,36.3%,37.9%,10.8%,4.0%,27.1%,51.8%,20.2%,6.5,2.4,52.0,74.8
27,Francisco Cerundolo [ARG],44,41.7%,41.5%,4.1%,3.2%,34.2%,53.7%,29.7%,6.8,2.8,54.0,110.4
28,Reilly Opelka [USA],44,28.5%,28.0%,8.1%,3.9%,21.1%,42.6%,10.4%,6.1,1.8,61.0,79.4
29,Borna Coric [CRO],18,35.0%,35.1%,7.5%,4.0%,27.4%,47.7%,17.5%,6.3,2.2,27.0,38.2
30,Lorenzo Musetti [ITA],54,36.6%,36.4%,4.7%,2.9%,30.0%,48.2%,21.8%,6.3,2.3,54.0,73.6
31,Karen Khachanov [RUS],58,36.6%,36.7%,6.8%,3.7%,29.1%,48.5%,19.9%,6.5,2.4,51.0,62.5
32,Maxime Cressy [USA],55,32.5%,32.8%,9.8%,4.4%,26.1%,43.2%,15.8%,6.2,2.0,63.0,105.7
33,Holger Rune [DEN],54,37.9%,37.5%,5.1%,3.7%,30.7%,50.5%,23.1%,6.5,2.4,71.0,81.0
34,Tommy Paul [USA],66,38.4%,38.3%,5.8%,3.8%,31.1%,50.9%,24.8%,6.6,2.5,42.5,95.3
35,Nikoloz Basilashvili [GEO],50,34.5%,36.5%,11.0%,3.1%,26.0%,49.2%,17.2%,6.2,2.1,49.0,65.3
36,Miomir Kecmanovic [SRB],58,37.8%,38.5%,8.4%,4.1%,29.6%,51.1%,23.8%,6.5,2.4,50.5,91.1
37,Sebastian Baez [ARG],61,40.4%,40.7%,5.2%,3.1%,33.8%,51.8%,28.7%,6.6,2.7,67.0,86.7
38,Aslan Karatsev [RUS],50,37.5%,38.1%,7.7%,3.8%,29.4%,50.6%,23.2%,6.5,2.4,60.5,64.3
39,Alejandro Davidovich Fokina [ESP],50,39.1%,39.6%,6.5%,3.4%,31.7%,50.7%,26.3%,6.6,2.6,37.0,51.3
40,Alex Molcan [SVK],44,37.7%,38.5%,7.2%,3.2%,29.9%,51.2%,22.2%,6.7,2.5,57.0,91.0
41,Oscar Otte [GER],38,36.3%,36.3%,7.1%,4.1%,29.1%,48.8%,21.1%,6.4,2.3,81.0,101.3
42,Albert Ramos [ESP],49,38.6%,39.8%,8.6%,3.7%,31.3%,50.9%,24.7%,6.5,2.5,61.0,66.4
43,Jenson Brooksby [USA],41,39.9%,40.9%,6.8%,3.1%,32.6%,51.7%,27.3%,6.5,2.6,44.0,58.9
44,Filip Krajinovic [SRB],48,35.7%,38.3%,12.6%,3.6%,27.2%,48.8%,21.5%,6.2,2.2,39.5,78.6
45,Adrian Mannarino [FRA],63,36.6%,37.8%,9.7%,4.0%,28.1%,50.1%,20.4%,6.5,2.4,65.0,95.3
46,Tallon Griekspoor [NED],39,35.8%,35.7%,8.1%,4.7%,26.6%,51.2%,18.2%,6.6,2.4,60.0,105.1
47,Alexander Bublik [KAZ],53,35.1%,35.2%,6.0%,3.1%,29.8%,44.0%,18.0%,6.3,2.2,61.0,76.2
48,John Isner [USA],40,27.3%,27.5%,10.9%,3.9%,21.3%,38.1%,7.1%,6.1,1.7,51.0,73.9
49,Emil Ruusuvuori [FIN],64,40.4%,40.1%,6.2%,4.7%,32.0%,53.0%,26.4%,6.7,2.7,64.5,80.9
50,Benjamin Bonzi [FRA],41,36.7%,38.1%,10.3%,4.0%,27.7%,52.3%,21.1%,6.5,2.4,60.5,106.0
